LF_Add_StartTimes_small,LF_Add_EndTimes_small,LF_Add_StartTimes_large,LF_Add_EndTimes_large,LF_Rm_StartTimes_small,LF_Rm_EndTimes_small,LF_Rm_StartTimes_large,LF_Rm_EndTimes_large
0,0,9.53088E+13,9.53088E+13,0,0,9.53089E+13,9.53089E+13
0,0,9.53089E+13,9.53089E+13,0,0,9.53089E+13,9.53089E+13
0,0,9.53089E+13,9.5309E+13,0,0,9.5309E+13,9.5309E+13
0,0,9.5309E+13,9.5309E+13,0,0,9.53136E+13,9.53136E+13
0,0,9.53136E+13,9.53136E+13,0,0,9.53136E+13,9.53136E+13
0,0,9.53136E+13,9.53137E+13,0,0,9.53137E+13,9.53137E+13
0,0,9.53137E+13,9.53137E+13,0,0,9.53183E+13,9.53184E+13
0,0,9.53184E+13,9.53184E+13,0,0,9.53184E+13,9.53184E+13
0,0,9.53184E+13,9.53184E+13,0,0,9.53184E+13,9.53185E+13
0,0,9.53185E+13,9.53185E+13,0,0,9.53185E+13,9.53186E+13
0,0,9.53186E+13,9.53186E+13,0,0,9.53186E+13,9.53186E+13
0,0,9.53186E+13,9.53186E+13,0,0,9.53186E+13,9.53186E+13
0,0,9.53186E+13,9.53187E+13,0,0,9.53187E+13,9.53187E+13
0,0,9.53187E+13,9.53187E+13,0,0,9.53187E+13,9.53188E+13
0,0,9.53188E+13,9.53188E+13,0,0,9.53188E+13,9.53188E+13
0,0,9.53188E+13,9.53188E+13,0,0,9.53188E+13,9.53189E+13
0,0,9.53189E+13,9.53189E+13,0,0,9.53189E+13,9.53189E+13
0,0,9.53189E+13,9.5319E+13,0,0,9.5319E+13,9.5319E+13
0,0,9.5319E+13,9.5319E+13,0,0,9.5319E+13,9.53191E+13
0,0,9.53191E+13,9.53191E+13,0,0,9.53191E+13,9.53191E+13
0,0,9.53191E+13,9.53192E+13,0,0,9.53192E+13,9.53192E+13
0,0,9.53192E+13,9.53192E+13,0,0,9.53192E+13,9.53192E+13
0,0,9.53192E+13,9.53192E+13,0,0,9.53193E+13,9.53193E+13
0,0,9.53193E+13,9.53193E+13,0,0,9.53193E+13,9.53194E+13
0,0,9.53194E+13,9.53194E+13,0,0,9.53194E+13,9.53194E+13
0,0,9.53194E+13,9.53194E+13,0,0,9.53194E+13,9.53194E+13
0,0,9.53194E+13,9.53194E+13,0,0,9.53194E+13,9.53195E+13
0,0,9.53195E+13,9.53195E+13,0,0,9.53195E+13,9.53195E+13
0,0,9.53195E+13,9.53196E+13,0,0,9.53196E+13,9.53196E+13
0,0,9.53196E+13,9.53196E+13,0,0,9.53196E+13,9.53197E+13
0,0,9.53197E+13,9.53197E+13,0,0,9.53197E+13,9.53197E+13
0,0,9.53197E+13,9.53197E+13,0,0,9.53197E+13,9.53197E+13
0,0,9.53197E+13,9.53197E+13,0,0,9.53197E+13,9.53197E+13
0,0,9.53197E+13,9.53197E+13,0,0,9.53197E+13,9.53198E+13
0,0,9.53198E+13,9.53198E+13,0,0,9.53198E+13,9.53198E+13
0,0,9.53198E+13,9.53198E+13,0,0,9.53198E+13,9.53198E+13
0,0,9.53198E+13,9.53199E+13,0,0,9.53199E+13,9.53199E+13
0,0,9.53199E+13,9.53199E+13,0,0,9.53199E+13,9.53199E+13
0,0,9.53199E+13,9.53199E+13,0,0,9.53199E+13,9.532E+13
0,0,9.532E+13,9.532E+13,0,0,9.532E+13,9.532E+13
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
